Date,AsianPaints Open,AsianPaints High,AsianPaints Low,AsianPaints close,AsianPaints Adj Close,Asian paintsVolume,DMart Open,DMart High,DMart Low,DMart Close,Dmart Adj Close,DMart Volume,,Dropdown for Comparison,,,,,,,,,,,,,,,,Date,DMart Open,AsianPaints Open
5/5/2022,3104.75,3126.949951,3070,3076.550049,3054.51416,724601,3925,3975,3776.75,3943.050049,3943.050049,19121,,,,,,,,,,,,,,,,,,5/5/2022,3925,3104.75
5/6/2022,3020,3052.399902,3003.899902,3016.25,2994.64624,923941,3880,3890.5,3604.649902,3664.550049,3664.550049,28410,,,,,,,,,,,,,,,,,,5/6/2022,3880,3020
5/9/2022,3000.850098,3038.800049,2975,3005.25,2983.725098,998324,3650,3657.399902,3486,3520.100098,3520.100098,28352,,,,,,,,,,,,,,,,,,5/9/2022,3650,3000.850098
5/10/2022,3051,3138.75,3036,3086.350098,3064.244141,2460016,3488,3548.949951,3403.149902,3415.949951,3415.949951,24612,,,,,,,,,,,,,,,,,,5/10/2022,3488,3051
5/11/2022,3090.399902,3109.550049,2979,3053.649902,3031.77832,1883969,3439,3499,3312.25,3340.75,3340.75,60045,,,,,,,,,,,,,,,,,,5/11/2022,3439,3090.399902
5/12/2022,3042,3078,2988,3039.949951,3018.17627,1254245,3310,3335,3247,3262.300049,3262.300049,56858,,,,,,,,,,,,,,,,,,5/12/2022,3310,3042
5/13/2022,3074.399902,3116.25,3035.300049,3064,3042.054199,1121729,3370,3370,3206.75,3234.949951,3234.949951,24305,,,,,,,,,,,,,,,,,,5/13/2022,3370,3074.399902
5/16/2022,3089.899902,3089.899902,2985.199951,2999.899902,2978.413086,733044,3272,3620,3185.100098,3562.899902,3562.899902,120276,,,,,,,,,,,,,,,,,,5/16/2022,3272,3089.899902
5/17/2022,2998.899902,3056.600098,2951,3050,3028.154541,1179081,3614.399902,3722.050049,3475,3664.149902,3664.149902,77398,,,,,,,,,,,,,,,,,,5/17/2022,3614.399902,2998.899902
5/18/2022,3030,3128.800049,3026,3100.100098,3077.895752,1379763,3724,3781.949951,3639.699951,3660.699951,3660.699951,68204,,,,,,,,,,,,,,,,,,5/18/2022,3724,3030
5/19/2022,3000.5,3071.699951,3000.449951,3046.899902,3025.076416,772390,3549,3647.949951,3490.850098,3617.850098,3617.850098,30177,,,,,,,,,,,,,,,,,,5/19/2022,3549,3000.5
5/20/2022,3080,3125,3070,3109.949951,3087.675049,778957,3707.050049,3715.949951,3610,3627.550049,3627.550049,36580,,,,,,,,,,,,,,,,,,5/20/2022,3707.050049,3080
5/23/2022,3143.949951,3188,3130.050049,3174.199951,3151.464844,813294,3679.5,3691.949951,3551.600098,3570.199951,3570.199951,14016,,,,,,,,,,,,,,,,,,5/23/2022,3679.5,3143.949951
